40052:
 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:         15540        1053608  [B (java.base@17.0.6)
   2:         14177         340248  java.lang.String (java.base@17.0.6)
   3:          2450         297408  java.lang.Class (java.base@17.0.6)
   4:          7041         225312  java.util.concurrent.ConcurrentHashMap$Node (java.base@17.0.6)
   5:          3173         186920  [Ljava.lang.Object; (java.base@17.0.6)
   6:          3825         122400  java.util.HashMap$Node (java.base@17.0.6)
   7:          1986          79440  sun.util.locale.LocaleObjectCache$CacheEntry (java.base@17.0.6)
   8:          1095          75296  [I (java.base@17.0.6)
   9:           625          67952  [Ljava.util.HashMap$Node; (java.base@17.0.6)
  10:           112          64096  [Ljava.util.concurrent.ConcurrentHashMap$Node; (java.base@17.0.6)
  11:          1377          55080  java.lang.ref.SoftReference (java.base@17.0.6)
  12:           584          51392  java.lang.reflect.Method (java.base@17.0.6)
  13:           928          44544  java.util.HashMap (java.base@17.0.6)
  14:            23          42240  [C (java.base@17.0.6)
  15:          1011          32352  sun.util.locale.BaseLocale (java.base@17.0.6)
  16:           992          31744  sun.util.locale.BaseLocale$Key (java.base@17.0.6)
  17:           835          22376  [Ljava.lang.String; (java.base@17.0.6)
  18:           271          19512  org.apache.zookeeper.server.Request
  19:           769          18456  java.util.ArrayList (java.base@17.0.6)
  20:           381          18288  java.lang.invoke.MemberName (java.base@17.0.6)
  21:           224          17024  [Ljava.lang.ref.SoftReference; (java.base@17.0.6)
  22:           707          16968  java.security.Provider$ServiceKey (java.base@17.0.6)
  23:          1023          16368  java.lang.Object (java.base@17.0.6)
  24:           407          16280  java.math.BigInteger (java.base@17.0.6)
  25:           401          16040  java.lang.invoke.MethodType (java.base@17.0.6)
  26:           245          15680  java.security.Provider$Service (java.base@17.0.6)
  27:           631          15288  [Ljava.lang.Class; (java.base@17.0.6)
  28:            55          14920  [J (java.base@17.0.6)
  29:           414          13248  java.lang.invoke.MethodType$ConcurrentWeakInternSet$WeakEntry (java.base@17.0.6)
  30:           270          12960  org.apache.zookeeper.txn.TxnHeader
  31:           329          10528  java.lang.ref.WeakReference (java.base@17.0.6)
  32:           140          10080  org.apache.zookeeper.data.StatPersisted
  33:           150           9600  java.util.concurrent.ConcurrentHashMap (java.base@17.0.6)
  34:           283           9056  java.lang.invoke.LambdaForm$Name (java.base@17.0.6)
  35:           560           8960  java.util.HashSet (java.base@17.0.6)
  36:           363           8712  java.lang.module.ModuleDescriptor$Exports (java.base@17.0.6)
  37:           270           8640  org.apache.zookeeper.server.quorum.QuorumPacket
  38:           214           8560  java.util.TreeMap$Entry (java.base@17.0.6)
  39:           262           8384  sun.security.util.KnownOIDs (java.base@17.0.6)
  40:           316           7584  org.apache.zookeeper.txn.Txn
  41:           303           7272  java.lang.invoke.ResolvedMethodName (java.base@17.0.6)
  42:           296           7104  javax.management.ImmutableDescriptor (java.management@17.0.6)
  43:            33           6768  [Ljava.lang.invoke.MethodHandle; (java.base@17.0.6)
  44:           271           6504  java.util.LinkedList$Node (java.base@17.0.6)
  45:           270           6480  org.apache.zookeeper.server.quorum.Leader$Proposal
  46:           404           6464  java.lang.Integer (java.base@17.0.6)
  47:           264           6336  java.util.ImmutableCollections$Set12 (java.base@17.0.6)
  48:           259           6216  java.security.Provider$UString (java.base@17.0.6)
  49:           256           6144  java.lang.Long (java.base@17.0.6)
  50:           181           5792  com.sun.jmx.mbeanserver.ConvertingMethod (java.management@17.0.6)
